                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.4067,                0.89782,                 1.0979,                0.77759,                  0.629,                0.66378,                0.36498,                 1.7174,                 1.0942,                 1.2793,               0.007525,               0.007525,               0.007525
                     78,                 1.3977,                0.86697,                 1.0923,                0.76101,                0.62713,                0.66083,                0.36167,                 1.7188,                 1.0924,                 1.2786,               0.007492,               0.007492,               0.007492
                     79,                  1.399,                0.88565,                 1.0947,                0.77059,                0.63652,                0.66826,                0.36748,                 1.7115,                 1.0868,                 1.2753,               0.007459,               0.007459,               0.007459
                     80,                 1.3891,                0.87453,                 1.0912,                 0.7601,                0.63843,                0.66816,                0.36981,                  1.712,                 1.0625,                  1.274,               0.007426,               0.007426,               0.007426
                     81,                 1.3901,                0.87008,                 1.0958,                0.75939,                 0.6336,                0.66844,                0.36956,                 1.7127,                 1.0727,                 1.2761,               0.007393,               0.007393,               0.007393
                     82,                 1.3934,                0.88002,                 1.0931,                0.76707,                0.64567,                0.67283,                0.37057,                 1.7062,                  1.065,                 1.2713,                0.00736,                0.00736,                0.00736
                     83,                  1.384,                 0.8618,                 1.0886,                0.76467,                0.64861,                0.67368,                0.37106,                 1.7034,                 1.0496,                 1.2699,               0.007327,               0.007327,               0.007327
                     84,                 1.3797,                0.85937,                 1.0868,                0.77087,                0.65019,                0.67529,                0.37429,                 1.7005,                 1.0445,                 1.2701,               0.007294,               0.007294,               0.007294
                     85,                 1.3952,                0.87368,                 1.0921,                0.77364,                0.63522,                0.67422,                0.37353,                 1.7078,                 1.0577,                 1.2657,               0.007261,               0.007261,               0.007261
                     86,                  1.368,                0.85617,                 1.0845,                0.75869,                 0.6468,                0.67669,                0.37389,                 1.7094,                 1.0532,                 1.2678,               0.007228,               0.007228,               0.007228
                     87,                 1.3804,                 0.8564,                 1.0864,                0.76268,                0.64403,                0.67452,                0.37415,                 1.7118,                 1.0527,                 1.2739,               0.007195,               0.007195,               0.007195
                     88,                 1.3691,                0.85114,                  1.086,                0.77314,                 0.6381,                 0.6736,                0.37276,                 1.7101,                 1.0578,                 1.2742,               0.007162,               0.007162,               0.007162
                     89,                 1.3696,                 0.8481,                 1.0826,                0.77056,                0.63837,                0.66963,                0.37061,                 1.7097,                 1.0686,                 1.2735,               0.007129,               0.007129,               0.007129
                     90,                 1.3643,                0.84533,                 1.0775,                0.75876,                0.63898,                0.66878,                0.37352,                 1.7068,                 1.0646,                 1.2736,               0.007096,               0.007096,               0.007096
                     91,                 1.3548,                0.83741,                 1.0727,                0.77271,                0.63568,                0.67136,                0.37191,                  1.712,                 1.0589,                 1.2745,               0.007063,               0.007063,               0.007063
                     92,                 1.3555,                0.84304,                 1.0796,                0.78766,                0.63973,                0.67197,                0.37256,                 1.7041,                 1.0611,                 1.2718,                0.00703,                0.00703,                0.00703
                     93,                 1.3537,                 0.8295,                 1.0753,                0.78358,                0.63792,                0.67137,                0.37163,                 1.7048,                  1.061,                 1.2698,               0.006997,               0.006997,               0.006997
                     94,                 1.3414,                0.82457,                 1.0722,                0.77903,                0.63951,                0.67231,                0.37254,                 1.7045,                 1.0623,                 1.2715,               0.006964,               0.006964,               0.006964
