                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.2937,                0.86935,                0.87841,                0.44115,                0.32855,                0.32806,                0.19058,                  1.288,                0.90911,                0.88179,               0.005446,               0.005446,               0.005446
                     48,                 1.2963,                0.86804,                0.87857,                0.44882,                0.32888,                0.32782,                 0.1887,                 1.2902,                 0.9096,                0.88263,               0.005347,               0.005347,               0.005347
                     49,                 1.2816,                0.85677,                0.87626,                0.45503,                 0.3295,                0.33214,                0.19311,                  1.284,                0.90302,                0.88059,               0.005248,               0.005248,               0.005248
                     50,                 1.2877,                0.85869,                0.87598,                0.45078,                0.33164,                0.33155,                0.19266,                 1.2909,                0.90084,                0.88289,               0.005149,               0.005149,               0.005149
                     51,                 1.2795,                0.85663,                0.87592,                 0.4485,                0.32872,                0.32867,                 0.1906,                 1.2859,                0.90126,                0.88269,                0.00505,                0.00505,                0.00505
                     52,                 1.2743,                0.84985,                0.87511,                0.46688,                0.32156,                0.33077,                0.19283,                 1.2748,                0.90053,                0.87996,               0.004951,               0.004951,               0.004951
                     53,                 1.2776,                0.85038,                0.87594,                0.44816,                0.32762,                0.32981,                0.19164,                 1.2809,                0.89574,                 0.8824,               0.004852,               0.004852,               0.004852
                     54,                 1.2764,                 0.8483,                0.87423,                0.45374,                0.32985,                0.33219,                0.19401,                 1.2727,                0.89759,                0.87926,               0.004753,               0.004753,               0.004753
                     55,                 1.2749,                0.84664,                 0.8741,                0.45249,                0.33261,                0.33367,                0.19331,                 1.2745,                0.89865,                0.87913,               0.004654,               0.004654,               0.004654
                     56,                  1.267,                 0.8378,                 0.8744,                 0.4543,                0.32758,                0.33106,                0.19271,                 1.2777,                0.90126,                0.88029,               0.004555,               0.004555,               0.004555
                     57,                  1.262,                0.83799,                0.87337,                0.44978,                0.33467,                0.33419,                0.19486,                 1.2746,                0.89262,                0.87964,               0.004456,               0.004456,               0.004456
                     58,                  1.267,                0.83646,                0.87226,                0.44943,                0.33314,                0.33014,                0.19297,                 1.2711,                0.89574,                0.87828,               0.004357,               0.004357,               0.004357
                     59,                 1.2545,                0.82626,                0.87081,                0.45693,                0.33127,                0.33428,                0.19483,                 1.2774,                0.89227,                 0.8803,               0.004258,               0.004258,               0.004258
                     60,                 1.2597,                0.82301,                0.87163,                0.45679,                0.33301,                0.33631,                0.19699,                 1.2758,                0.89153,                0.87939,               0.004159,               0.004159,               0.004159
                     61,                 1.2475,                0.81843,                 0.8701,                0.44795,                0.33786,                0.33602,                 0.1958,                  1.271,                0.89232,                0.87947,                0.00406,                0.00406,                0.00406
                     62,                 1.2564,                0.82319,                0.87274,                 0.4423,                0.33931,                0.33491,                0.19531,                 1.2693,                0.88648,                0.87912,               0.003961,               0.003961,               0.003961
                     63,                 1.2506,                0.81562,                0.87138,                0.45699,                0.33404,                0.33707,                0.19604,                 1.2713,                0.88571,                0.87884,               0.003862,               0.003862,               0.003862
                     64,                  1.254,                0.81783,                0.87061,                0.46092,                0.32909,                0.33422,                0.19457,                 1.2695,                0.89002,                0.87977,               0.003763,               0.003763,               0.003763
                     65,                 1.2468,                0.81124,                0.86926,                0.47559,                0.32956,                0.33758,                0.19756,                 1.2675,                0.88504,                0.87854,               0.003664,               0.003664,               0.003664
                     66,                 1.2451,                0.80945,                0.87093,                0.46206,                0.33392,                0.33788,                0.19712,                 1.2681,                 0.8838,                0.87831,               0.003565,               0.003565,               0.003565
